"Genotype","Photo","simPhoto","PAR"
"col",-0.711411311111111,-0.696229964226812,0
"col",3.52748,3.15260584793157,70
"col",12.5216666666667,12.3968165983597,800
"col",6.22897777777778,5.60057538762524,130
"col",12.2007333333333,12.4173008495862,600
"npq1",-0.880786666666667,-0.68022312331336,0
"npq1",3.41166666666667,3.15666018727758,70
"npq1",12.1150666666667,12.3791020209321,800
"npq1",5.58293333333333,5.67797951219859,130
"npq1",12.0685333333333,12.4205535166693,600
"npq4",-0.949032666666667,-0.702119964955909,0
"npq4",3.30443333333333,3.13253830562279,70
"npq4",11.5209333333333,12.3354297675366,800
"npq4",5.66706666666667,5.56164714969733,130
"npq4",11.1484666666667,12.36449015369,600
"rca2",-0.692493333333333,-0.695740762892921,0
"rca2",2.95310666666667,3.01365854653395,70
"rca2",9.89426666666667,10.3440051618192,800
"rca2",5.59206666666667,5.43338400322864,130
"rca2",10.3028,10.3134238068886,600
"rwt43",-0.85254,-0.676091977163614,0
"rwt43",3.14554,3.13708728162821,70
"rwt43",12.6932666666667,12.4163294696078,800
"rwt43",5.87366666666667,5.72359265631333,130
"rwt43",12.3017333333333,12.4353520605084,600
"spsa",-0.882246666666667,-0.707028400184522,0
"spsa",3.49408666666667,3.21477737484736,70
"spsa",12.0502,12.4086870737456,800
"spsa",6.1769,5.57197542461685,130
"spsa",12.0861333333333,12.4193552874017,600
"col",12.6573978494624,12.262185936019,1000
"col",12.3695913978495,12.2856893172092,800
"col",5.76851612903226,5.49209043845007,130
"col",12.3628817204301,12.4335805850716,600
"col",8.2974623655914,7.86733014962592,200
"npq1",13.4651612903226,12.2844224232062,1000
"npq1",12.3709677419355,12.4338813506051,800
"npq1",5.52696774193548,5.58684392996181,130
"npq1",11.5955483870968,12.4746856608602,600
"npq1",8.03064516129032,7.92288291738074,200
"npq4",11.904,12.2179372687136,1000
"npq4",11.5714193548387,12.3380124660144,800
"npq4",4.90670967741935,5.45087468311667,130
"npq4",11.5749677419355,12.4092418803504,600
"npq4",7.07232258064516,7.71814191317979,200
"rca2",10.3258709677419,10.2740292543502,1000
"rca2",9.76683870967742,10.2688380995425,800
"rca2",5.10754838709677,5.37007644663516,130
"rca2",9.9978064516129,10.2235671649312,600
"rca2",7.69412903225806,7.488555835045,200
"rwt43",13.2406451612903,12.3267786284727,1000
"rwt43",12.6226451612903,12.4171546849555,800
"rwt43",5.77967741935484,5.61876292235236,130
"rwt43",12.2234838709677,12.4456326538512,600
"rwt43",8.49225806451613,8.00079011584485,200
"spsa",13.2387096774194,12.2764847926843,1000
"spsa",12.0603870967742,12.3850667493778,800
"spsa",5.72451612903226,5.490911105834,130
"spsa",12.1456774193548,12.4348679876357,600
"spsa",8.49851612903226,7.87237035928946,200
